snapshot_date,generated_at_utc,target_ticker,asset,current_price,horizon_day,target_date,raw_p10_price,raw_p25_price,raw_p50_price,raw_p75_price,raw_p90_price,shadow_p10_price,shadow_p25_price,shadow_p50_price,shadow_p75_price,shadow_p90_price,calibration_controls,calibration_active,calibration_strength,center_shift_pct,raw_bias_pct,wide_scale,central_scale
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,30,2026-08-15,49237.09348742878,54416.70375472733,66378.43425900751,74102.92039919687,81595.44234193265,49237.09348742878,54416.70375472733,66378.43425900751,74102.92039919687,81595.44234193265,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,0,2026-07-16,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,0.0734499990940094,2,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,1,2026-07-17,0.06728159799089853,0.06892648088463692,0.0713244565381959,0.07391598852520477,0.07581037239340625,0.06728159799089853,0.06892648088463692,0.0713244565381959,0.07391598852520477,0.07581037239340625,2,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,2,2026-07-18,0.06273889592373406,0.06527421882476202,0.06985806098648199,0.07361155826634048,0.07570536093173844,0.06273889592373406,0.06527421882476202,0.06985806098648199,0.07361155826634048,0.07570536093173844,2,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,3,2026-07-19,0.05841171449914972,0.06253700845248618,0.06991080203040619,0.07455240028097944,0.07729124086498074,0.05841171449914972,0.06253700845248618,0.06991080203040619,0.07455240028097944,0.07729124086498074,2,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,4,2026-07-20,0.05267261332706794,0.05777547060685318,0.06785279757065431,0.0734202840030797,0.07827817298025729,0.05267261332706794,0.05777547060685318,0.06785279757065431,0.0734202840030797,0.07827817298025729,1,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,5,2026-07-21,0.052761717512386286,0.058534828583832785,0.06673748184410175,0.07256404290252881,0.07789235602385132,0.052761717512386286,0.058534828583832785,0.06673748184410175,0.07256404290252881,0.07789235602385132,1,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,6,2026-07-22,0.05404958937307042,0.05681500869737035,0.06607757219542519,0.07155273955641096,0.07641218278403387,0.05404958937307042,0.05681500869737035,0.06607757219542519,0.07155273955641096,0.07641218278403387,1,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,7,2026-07-23,0.048178655601138105,0.053035361930103865,0.06282719311485759,0.07098027683267678,0.07719575331124157,0.048178655601138105,0.053035361930103865,0.06282719311485759,0.07098027683267678,0.07719575331124157,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,8,2026-07-24,0.047166173621235395,0.051662493154658595,0.061311968723169255,0.07088228527983455,0.07985420834398275,0.047166173621235395,0.051662493154658595,0.061311968723169255,0.07088228527983455,0.07985420834398275,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,9,2026-07-25,0.04590917673603042,0.052893169636190014,0.05806235534427863,0.06800945057228666,0.07931336062920855,0.04590917673603042,0.052893169636190014,0.05806235534427863,0.06800945057228666,0.07931336062920855,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,10,2026-07-26,0.048219194870692164,0.0520065333162068,0.06023163652351832,0.06985869099932862,0.0802072512318251,0.048219194870692164,0.0520065333162068,0.06023163652351832,0.06985869099932862,0.0802072512318251,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,DOGE-USD,DOGE,0.0734499990940094,11,2026-07-27,0.04868347113770464,0.054012340086092174,0.06346502201886196,0.07302678744570901,0.07944521768141222,0.04868347113770464,0.054012340086092174,0.06346502201886196,0.07302678744570901,0.07944521768141222,0,0,0.0,0.0,,1.0,1.0
